Complaint_ID,Location,Complaint_Text,Category,Priority_Label
CMP-1000,Delhi,"Unsafe area at night in Delhi, police patrolling required.",Women Safety,High
CMP-1001,Hyderabad,"Unsafe area at night in Hyderabad, police patrolling required.",Women Safety,High
CMP-1002,Delhi,Garbage not collected for days in Delhi.,Garbage Disposal,Low
CMP-1003,Bengaluru,Broken traffic lights causing congestion in Bengaluru.,Traffic Signal Failure,Medium
CMP-1004,Bengaluru,"Traffic signals not working at Bengaluru, risk of accidents.",Traffic Signal Failure,Medium
CMP-1005,Bengaluru,Patient not treated in emergency ward at Bengaluru.,Hospital Emergency,High
CMP-1006,Bengaluru,Garbage not collected for days in Bengaluru.,Garbage Disposal,Low
CMP-1007,Bengaluru,Broken traffic lights causing congestion in Bengaluru.,Traffic Signal Failure,Medium
CMP-1008,Hyderabad,Power outage since morning in Hyderabad.,Electricity Outage,Medium
CMP-1009,Bengaluru,Road repair pending for months in Bengaluru.,Road Damage,Medium
CMP-1010,Bengaluru,No water supply in Bengaluru for 3 days.,Water Supply,Low
CMP-1011,Bengaluru,"Ambulance delayed, urgent help needed in Bengaluru.",Hospital Emergency,High
CMP-1012,Chennai,Officer demanded bribe for service approval in Chennai.,Corruption Bribe,High
CMP-1013,Mumbai,Broken traffic lights causing congestion in Mumbai.,Traffic Signal Failure,Medium
CMP-1014,Chennai,Frequent voltage fluctuation in Chennai.,Electricity Outage,Medium
CMP-1015,Chennai,"Unsafe area at night in Chennai, police patrolling required.",Women Safety,High
CMP-1016,Delhi,Harassment incidents reported near Delhi. Immediate action needed.,Women Safety,High
CMP-1017,Mumbai,Garbage not collected for days in Mumbai.,Garbage Disposal,Low
CMP-1018,Hyderabad,Patient not treated in emergency ward at Hyderabad.,Hospital Emergency,High
CMP-1019,Bengaluru,Broken traffic lights causing congestion in Bengaluru.,Traffic Signal Failure,Medium
CMP-1020,Bengaluru,Garbage not collected for days in Bengaluru.,Garbage Disposal,Low
CMP-1021,Chennai,"Ambulance delayed, urgent help needed in Chennai.",Hospital Emergency,High
CMP-1022,Delhi,"Unsafe area at night in Delhi, police patrolling required.",Women Safety,High
CMP-1023,Mumbai,"Ambulance delayed, urgent help needed in Mumbai.",Hospital Emergency,High
CMP-1024,Chennai,Officer demanded bribe for service approval in Chennai.,Corruption Bribe,High
CMP-1025,Chennai,"Unsafe area at night in Chennai, police patrolling required.",Women Safety,High
CMP-1026,Delhi,Dirty drinking water coming from taps in Delhi.,Water Supply,Low
CMP-1027,Bengaluru,"Traffic signals not working at Bengaluru, risk of accidents.",Traffic Signal Failure,Medium
